tweet_id,text,misogyny,category
6526,مستخدم@ إنتي عم تتخايلي إنو إذا كانوا الحزب و الحركةو طلعتي قدامن ممكن يصير وجّك خريطة لبنان،تخيالي بس�,misogyny,threat of violence
210,مستخدم@ حريم وش نقول ، قلنا لكم مكانهم البيت وبس,misogyny,stereotyping & objectification
780,مستخدم@ عشان كذا كشفتي وجهك من أرضى الناس بسخط الله سخط الله عليه وأسخط الناس عليه كملي الباقي...,none,none
6709,مستخدم@ مستخدم@ مين هالهبلة اللي عم تحكي؟؟,misogyny,discredit
1931,مستخدم@ مستخدم@ بس تكون حساب حقيقي كمان ابقى احكي������������� يا ام حسن لهو حسابك وام حسين كمان ذكييييييي,none,none
6769,مستخدم@ رح تنطالي قضائيا..حضري حالك.,none,none
822,مستخدم@ مستخدم@ مانفع هذا الجمال وفي منطقها السم الزعاف وقلبها اسود كروث الماعز ونجاستها توازي نجاسة خنزير ابرص,misogyny,discredit
1587,مستخدم@ ليكي ولي نحن اكبر من انو نبعت حدا.... نحن مننزل ومنقلك جماعة الحزب نازعلي تدعس بنص قلبك وتقصلك لسانك من لغاليغو....,misogyny,threat of violence
6255,مستخدم@ كل الاحترام و تقدير لاقوى صحافية بتحكي بحقوق العالم المقهورين اكيد لاحزاب و سياسيين ما رح يكونو مرتحين ه… https://t.co/s0Gjg0xkMl,none,none
3374,مستخدم@ الله يدمرك كما خدعتينا بكلامك الكادب والله لا نجد ما ناكل لا رواتب لا شغل ولا مشغله,misogyny,damning
6041,مستخدم@ لكن يا حلوة ما نزلتي كرمال مطالب الناس و وجعون ؟ و دموعك كانوا كرمال جبان باسيل ؟؟!!ohhhhhhh,none,none
5992,مستخدم@ غير صحيح و مكانك انتي و كل حرمه المطبخ و بس,misogyny,stereotyping & objectification
4557,مستخدم@ مع الأسف انو تركيزك على الضاحية اكثر من حقوق الشعب ، الضاحية حاربت العدو الاسرائيلي ، انا كنت معك بس هلق… https://t.co/Af0nfMMLG4,none,none
38,مستخدم@ اقعدي عاقلة يا ديما,misogyny,dominance
3410,مستخدم@ تفه ما أبشعك�,misogyny,stereotyping & objectification
731,مستخدم@ غريب هالهجوم ،والله الله يكون بعينك ع تحمل هالناس الجاهلة كل فترة بركزوا عليكي ،الله يحميكي وما بصح إلا الصحيح .,none,none
